rank,release,gross,theaters,total_gross,release_date,distributor,release_month,release_quarter
150,Chevalier,"$3,541,159",1281,"$3,541,159",2023-04-21,Walt Disney Studios Motion Pictures,4,2
151,Mafia Mamma,"$3,496,761",2002,"$3,496,761",2023-04-14,Bleecker Street Media,4,2
152,The Wandering Earth II,"$3,444,487",172,"$5,023,132",2023-01-22,Well Go USA Entertainment,1,1
153,A Thousand and One,"$3,400,020",926,"$3,400,020",2023-03-31,Focus Features,3,1
154,Violent Night,"$3,278,955",3723,"$50,057,405",2023-12-02,Universal Pictures,12,4
155,What Happens Later,"$3,273,895",1492,"$3,273,895",2023-11-03,Bleecker Street Media,11,4
156,2023 Oscar Nominated Short Films: Live Action,"$3,025,631",357,"$3,025,631",2023-02-17,ShortsTV,2,1
157,Living,"$2,984,305",644,"$3,038,113",2023-12-23,Sony Pictures Classics,12,4
158,Jurassic Park2023 Re-release (30th Anniversary),"$2,970,355",1224,"$2,970,355",2023-08-25,Universal Pictures,8,3
159,The Menu,"$2,779,574",3228,"$38,501,125",2023-11-18,Searchlight Pictures,11,4
160,Tu Jhoothi Main Makkaar,"$2,503,604",400,"$2,503,604",2023-03-08,Yash Raj Films USA Inc.,3,1
161,Come Out in Jesus Name,"$2,500,574",1047,"$2,500,574",2023-03-13,Fathom Events,3,1
162,The Miracle Club,"$2,377,438",677,"$2,402,780",2023-07-14,Sony Pictures Releasing,7,3
163,A Good Person,"$2,210,465",687,"$2,210,465",2023-03-24,United Artists Releasing,3,1
164,Moving On,"$2,136,832",794,"$2,136,832",2023-03-17,Roadside Attractions,3,1
165,Skinamarink,"$2,052,272",809,"$2,052,272",2023-01-13,IFC Films,1,1
166,Die Hard2023 Re-release,"$2,048,453",1355,"$2,048,453",2023-12-08,Twenty First Century Entertainment,12,4
167,Jules,"$1,924,922",780,"$1,924,922",2023-08-11,Bleecker Street Media,8,3
168,Somewhere in Queens,"$1,802,442",602,"$1,802,442",2023-04-21,Roadside Attractions,4,2
169,The Marsh King's Daughter,"$1,792,905",1055,"$1,792,905",2023-11-03,Lions Gate Films,11,4
170,Oldboy2023 Re-release,"$1,750,719",250,"$1,750,719",2023-08-16,-,8,3
171,Winnie the Pooh: Blood and Honey,"$1,750,639",1652,"$1,750,639",2023-02-15,Fathom Events,2,1
172,Fear,"$1,735,359",974,"$2,090,261",2023-01-27,Hidden Empire Film Group (HEFG),1,1
173,Lost in the Stars,"$1,721,446",-,"$1,721,446",2023-07-07,CMC Pictures,7,3
174,Creation of the Gods I: Kingdom of Storms,"$1,686,246",115,"$1,706,355",2023-09-22,Well Go USA Entertainment,9,3
175,American Fiction,"$1,655,483",1902,"$15,013,037",2023-12-15,Metro-Goldwyn-Mayer (MGM),12,4
176,Polite Society,"$1,595,585",927,"$1,595,585",2023-04-28,Focus Features,4,2
177,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$1,588,491",1473,"$1,588,491",2023-01-20,Crunchyroll,1,1
178,The Banshees of Inisherin,"$1,555,301",1205,"$10,582,266",2023-10-21,Searchlight Pictures,10,4
179,The Quiet Girl,"$1,500,014",244,"$1,500,014",2023-02-24,Neon,2,1
180,BlackBerry,"$1,476,598",449,"$1,476,597",2023-05-12,IFC Films,5,2
181,Spirited Away2023 Re-release (Live on Stage),"$1,455,081",1046,"$1,455,081",2023-04-23,Fathom Events,4,2
182,Dicks: The Musical,"$1,453,012",635,"$1,453,012",2023-10-06,A24,10,4
183,Eileen,"$1,425,273",558,"$1,435,007",2023-12-01,-,12,4
184,Maybe I Do,"$1,293,722",465,"$1,293,722",2023-01-27,Vertical Entertainment,1,1
185,The First Slam Dunk,"$1,291,869",581,"$1,291,869",2023-07-28,GKIDS,7,3
186,Billie Eilish Live at the O2,"$1,290,000",600,"$1,290,000",2023-01-27,Trafalgar Releasing,1,1
187,The Big Lebowski,"$1,266,945",1235,"$18,718,818",2023-03-06,Gramercy Pictures (I),3,1
188,Back to the Future,"$1,240,710",1550,"$211,850,472",2023-07-03,Universal Pictures,7,3
189,Tár,"$1,193,875",1090,"$6,773,650",2023-10-07,Focus Features,10,4
190,The Lost King,"$1,189,307",753,"$1,188,032",2023-03-24,IFC Films,3,1
191,The Lord of the Rings: The Return of the King2023 Re-release (20th Anniversary),"$1,176,085",1107,"$1,176,085",2023-04-13,Fathom Events,4,2
192,Camp Hideout,"$1,125,010",848,"$1,125,010",2023-09-15,Roadside Attractions,9,3
193,Strange World,"$1,120,039",4174,"$37,968,963",2023-11-23,Walt Disney Studios Motion Pictures,11,4
194,Close,"$1,100,113",233,"$1,100,113",2023-01-27,A24,1,1
195,Emily,"$1,097,067",579,"$1,097,067",2023-02-17,Bleecker Street Media,2,1
196,Knights of the Zodiac,"$1,090,155",588,"$1,090,155",2023-05-12,-,5,2
197,Broker,"$1,001,892",271,"$1,046,899",2023-12-23,Neon,12,4
198,Showing Up,"$972,074",115,"$754,483",2023-04-07,A24,4,2
199,Inside,"$918,415",357,"$918,415",2023-03-17,Focus Features,3,1
200,The Roundup: No Way Out,"$909,411",41,"$909,411",2023-06-02,Capelight Pictures,6,2
